iteration,label,operation,gas_used,duration_ms,policy_id,outcome
0,addProduct,addProduct,185892,1.663,,
1,createTestPolicy_1,createTestPolicy,261713,1.035,1,
1,expirePolicy_1,expirePolicy,55069,0.576,1,expired
2,createTestPolicy_2,createTestPolicy,227513,0.735,2,
2,finalize_2,finalize,69676,0.605,2,no_payout
3,createTestPolicy_3,createTestPolicy,227513,0.689,3,
3,expirePolicy_3,expirePolicy,55069,0.547,3,expired
4,createTestPolicy_4,createTestPolicy,227513,0.700,4,
4,finalize_4,finalize,92730,0.667,4,payout
5,createTestPolicy_5,createTestPolicy,227513,0.691,5,
5,expirePolicy_5,expirePolicy,55069,0.503,5,expired
6,createTestPolicy_6,createTestPolicy,227513,0.653,6,
6,finalize_6,finalize,69676,0.551,6,no_payout
7,createTestPolicy_7,createTestPolicy,227513,0.656,7,
7,expirePolicy_7,expirePolicy,55069,0.527,7,expired
8,createTestPolicy_8,createTestPolicy,227513,0.708,8,
8,finalize_8,finalize,92730,0.660,8,payout
9,createTestPolicy_9,createTestPolicy,227513,0.660,9,
9,expirePolicy_9,expirePolicy,55069,0.494,9,expired
10,createTestPolicy_10,createTestPolicy,227513,0.741,10,
10,finalize_10,finalize,69676,0.549,10,no_payout
11,createTestPolicy_11,createTestPolicy,227513,0.698,11,
11,expirePolicy_11,expirePolicy,55069,0.503,11,expired
12,createTestPolicy_12,createTestPolicy,227513,0.647,12,
12,finalize_12,finalize,92730,0.677,12,payout
13,createTestPolicy_13,createTestPolicy,227513,1.681,13,
13,expirePolicy_13,expirePolicy,55069,0.499,13,expired
14,createTestPolicy_14,createTestPolicy,227513,0.663,14,
14,finalize_14,finalize,69676,0.665,14,no_payout
15,createTestPolicy_15,createTestPolicy,227513,0.644,15,
15,expirePolicy_15,expirePolicy,55069,0.475,15,expired
16,createTestPolicy_16,createTestPolicy,227513,0.649,16,
16,finalize_16,finalize,92730,0.598,16,payout
17,createTestPolicy_17,createTestPolicy,227513,0.686,17,
17,expirePolicy_17,expirePolicy,55069,0.468,17,expired
18,createTestPolicy_18,createTestPolicy,227513,0.643,18,
18,finalize_18,finalize,69676,0.509,18,no_payout
19,createTestPolicy_19,createTestPolicy,227513,0.636,19,
19,expirePolicy_19,expirePolicy,55069,0.462,19,expired
20,createTestPolicy_20,createTestPolicy,227513,0.626,20,
20,finalize_20,finalize,92730,0.593,20,payout
21,createTestPolicy_21,createTestPolicy,227513,0.653,21,
21,expirePolicy_21,expirePolicy,55069,0.469,21,expired
22,createTestPolicy_22,createTestPolicy,227513,0.703,22,
22,finalize_22,finalize,69676,0.531,22,no_payout
23,createTestPolicy_23,createTestPolicy,227513,0.699,23,
23,expirePolicy_23,expirePolicy,55069,0.483,23,expired
24,createTestPolicy_24,createTestPolicy,227513,0.642,24,
24,finalize_24,finalize,92730,0.593,24,payout
25,createTestPolicy_25,createTestPolicy,227513,0.641,25,
25,expirePolicy_25,expirePolicy,55069,0.460,25,expired
26,createTestPolicy_26,createTestPolicy,227513,0.644,26,
26,finalize_26,finalize,69676,0.529,26,no_payout
27,createTestPolicy_27,createTestPolicy,227513,0.667,27,
27,expirePolicy_27,expirePolicy,55069,0.467,27,expired
28,createTestPolicy_28,createTestPolicy,227513,1.056,28,
28,finalize_28,finalize,92730,0.574,28,payout
29,createTestPolicy_29,createTestPolicy,227513,0.651,29,
29,expirePolicy_29,expirePolicy,55069,0.490,29,expired
30,createTestPolicy_30,createTestPolicy,227513,0.662,30,
30,finalize_30,finalize,69676,0.526,30,no_payout
31,createTestPolicy_31,createTestPolicy,227513,0.662,31,
31,expirePolicy_31,expirePolicy,55069,0.460,31,expired
32,createTestPolicy_32,createTestPolicy,227513,0.698,32,
32,finalize_32,finalize,92730,0.583,32,payout
33,createTestPolicy_33,createTestPolicy,227513,0.646,33,
33,expirePolicy_33,expirePolicy,55069,0.466,33,expired
34,createTestPolicy_34,createTestPolicy,227513,0.785,34,
34,finalize_34,finalize,69676,0.549,34,no_payout
35,createTestPolicy_35,createTestPolicy,227513,0.674,35,
35,expirePolicy_35,expirePolicy,55069,0.480,35,expired
36,createTestPolicy_36,createTestPolicy,227513,0.690,36,
36,finalize_36,finalize,92730,0.634,36,payout
37,createTestPolicy_37,createTestPolicy,227513,0.702,37,
37,expirePolicy_37,expirePolicy,55069,0.482,37,expired
38,createTestPolicy_38,createTestPolicy,227513,0.694,38,
38,finalize_38,finalize,69676,0.552,38,no_payout
39,createTestPolicy_39,createTestPolicy,227513,0.668,39,
39,expirePolicy_39,expirePolicy,55069,0.460,39,expired
40,createTestPolicy_40,createTestPolicy,227513,0.657,40,
40,finalize_40,finalize,92730,0.597,40,payout
41,createTestPolicy_41,createTestPolicy,227513,0.648,41,
41,expirePolicy_41,expirePolicy,55069,0.470,41,expired
42,createTestPolicy_42,createTestPolicy,227513,0.641,42,
42,finalize_42,finalize,69676,0.495,42,no_payout
43,createTestPolicy_43,createTestPolicy,227513,0.715,43,
43,expirePolicy_43,expirePolicy,55069,0.472,43,expired
44,createTestPolicy_44,createTestPolicy,227513,0.650,44,
44,finalize_44,finalize,92730,0.600,44,payout
45,createTestPolicy_45,createTestPolicy,227513,0.684,45,
45,expirePolicy_45,expirePolicy,55069,0.494,45,expired
46,createTestPolicy_46,createTestPolicy,227513,0.660,46,
46,finalize_46,finalize,69676,0.500,46,no_payout
47,createTestPolicy_47,createTestPolicy,227513,0.657,47,
47,expirePolicy_47,expirePolicy,55069,0.488,47,expired
48,createTestPolicy_48,createTestPolicy,227513,0.659,48,
48,finalize_48,finalize,92730,0.578,48,payout
49,createTestPolicy_49,createTestPolicy,227513,0.639,49,
49,expirePolicy_49,expirePolicy,55069,0.462,49,expired
50,createTestPolicy_50,createTestPolicy,227513,0.647,50,
50,finalize_50,finalize,69676,0.523,50,no_payout
51,createTestPolicy_51,createTestPolicy,227513,0.629,51,
51,expirePolicy_51,expirePolicy,55069,0.495,51,expired
52,createTestPolicy_52,createTestPolicy,227513,0.736,52,
52,finalize_52,finalize,92730,0.592,52,payout
53,createTestPolicy_53,createTestPolicy,227513,0.667,53,
53,expirePolicy_53,expirePolicy,55069,0.482,53,expired
54,createTestPolicy_54,createTestPolicy,227513,0.660,54,
54,finalize_54,finalize,69676,0.512,54,no_payout
55,createTestPolicy_55,createTestPolicy,227513,0.654,55,
55,expirePolicy_55,expirePolicy,55069,0.487,55,expired
56,createTestPolicy_56,createTestPolicy,227513,0.653,56,
56,finalize_56,finalize,92730,0.618,56,payout
57,createTestPolicy_57,createTestPolicy,227513,0.670,57,
57,expirePolicy_57,expirePolicy,55069,0.817,57,expired
58,createTestPolicy_58,createTestPolicy,227513,0.793,58,
58,finalize_58,finalize,69676,0.501,58,no_payout
59,createTestPolicy_59,createTestPolicy,227513,0.658,59,
59,expirePolicy_59,expirePolicy,55069,0.573,59,expired
60,createTestPolicy_60,createTestPolicy,227513,0.684,60,
60,finalize_60,finalize,92730,0.577,60,payout
61,createTestPolicy_61,createTestPolicy,227513,0.654,61,
61,expirePolicy_61,expirePolicy,55069,0.458,61,expired
62,createTestPolicy_62,createTestPolicy,227513,0.633,62,
62,finalize_62,finalize,69676,0.524,62,no_payout
63,createTestPolicy_63,createTestPolicy,227513,0.677,63,
63,expirePolicy_63,expirePolicy,55069,0.457,63,expired
64,createTestPolicy_64,createTestPolicy,227513,0.644,64,
64,finalize_64,finalize,92730,0.568,64,payout
65,createTestPolicy_65,createTestPolicy,227513,0.638,65,
65,expirePolicy_65,expirePolicy,55069,0.466,65,expired
66,createTestPolicy_66,createTestPolicy,227513,0.666,66,
66,finalize_66,finalize,69676,0.510,66,no_payout
67,createTestPolicy_67,createTestPolicy,227513,0.668,67,
67,expirePolicy_67,expirePolicy,55069,0.460,67,expired
68,createTestPolicy_68,createTestPolicy,227513,0.647,68,
68,finalize_68,finalize,92730,0.573,68,payout
69,createTestPolicy_69,createTestPolicy,227513,0.640,69,
69,expirePolicy_69,expirePolicy,55069,0.470,69,expired
70,createTestPolicy_70,createTestPolicy,227513,0.650,70,
70,finalize_70,finalize,69676,0.516,70,no_payout
71,createTestPolicy_71,createTestPolicy,227513,0.670,71,
71,expirePolicy_71,expirePolicy,55069,0.464,71,expired
72,createTestPolicy_72,createTestPolicy,227513,0.713,72,
72,finalize_72,finalize,92730,0.647,72,payout
73,createTestPolicy_73,createTestPolicy,227513,0.676,73,
73,expirePolicy_73,expirePolicy,55069,0.471,73,expired
74,createTestPolicy_74,createTestPolicy,227513,0.643,74,
74,finalize_74,finalize,69676,0.515,74,no_payout
75,createTestPolicy_75,createTestPolicy,227513,0.740,75,
75,expirePolicy_75,expirePolicy,55069,0.497,75,expired
76,createTestPolicy_76,createTestPolicy,227513,0.651,76,
76,finalize_76,finalize,92730,0.568,76,payout
77,createTestPolicy_77,createTestPolicy,227513,0.651,77,
77,expirePolicy_77,expirePolicy,55069,0.487,77,expired
78,createTestPolicy_78,createTestPolicy,227513,0.708,78,
78,finalize_78,finalize,69676,0.513,78,no_payout
79,createTestPolicy_79,createTestPolicy,227513,0.643,79,
79,expirePolicy_79,expirePolicy,55069,0.464,79,expired
80,createTestPolicy_80,createTestPolicy,227513,0.670,80,
80,finalize_80,finalize,92730,0.583,80,payout
81,createTestPolicy_81,createTestPolicy,227513,0.657,81,
81,expirePolicy_81,expirePolicy,55069,0.457,81,expired
82,createTestPolicy_82,createTestPolicy,227513,0.636,82,
82,finalize_82,finalize,69676,0.629,82,no_payout
83,createTestPolicy_83,createTestPolicy,227513,0.668,83,
83,expirePolicy_83,expirePolicy,55069,0.481,83,expired
84,createTestPolicy_84,createTestPolicy,227513,0.658,84,
84,finalize_84,finalize,92730,0.599,84,payout
85,createTestPolicy_85,createTestPolicy,227513,0.679,85,
85,expirePolicy_85,expirePolicy,55069,0.461,85,expired
86,createTestPolicy_86,createTestPolicy,227513,0.666,86,
86,finalize_86,finalize,69676,0.518,86,no_payout
87,createTestPolicy_87,createTestPolicy,227513,0.650,87,
87,expirePolicy_87,expirePolicy,55069,0.463,87,expired
88,createTestPolicy_88,createTestPolicy,227513,0.687,88,
88,finalize_88,finalize,92730,0.587,88,payout
89,createTestPolicy_89,createTestPolicy,227513,0.659,89,
89,expirePolicy_89,expirePolicy,55069,0.459,89,expired
90,createTestPolicy_90,createTestPolicy,227513,0.646,90,
90,finalize_90,finalize,69676,0.535,90,no_payout
91,createTestPolicy_91,createTestPolicy,227513,0.679,91,
91,expirePolicy_91,expirePolicy,55069,0.502,91,expired
92,createTestPolicy_92,createTestPolicy,227513,0.673,92,
92,finalize_92,finalize,92730,0.616,92,payout
93,createTestPolicy_93,createTestPolicy,227513,0.803,93,
93,expirePolicy_93,expirePolicy,55069,0.476,93,expired
94,createTestPolicy_94,createTestPolicy,227513,0.647,94,
94,finalize_94,finalize,69676,0.502,94,no_payout
95,createTestPolicy_95,createTestPolicy,227513,0.648,95,
95,expirePolicy_95,expirePolicy,55069,0.445,95,expired
96,createTestPolicy_96,createTestPolicy,227513,0.667,96,
96,finalize_96,finalize,92730,0.611,96,payout
97,createTestPolicy_97,createTestPolicy,227513,0.655,97,
97,expirePolicy_97,expirePolicy,55069,0.463,97,expired
98,createTestPolicy_98,createTestPolicy,227513,0.764,98,
98,finalize_98,finalize,69676,0.537,98,no_payout
99,createTestPolicy_99,createTestPolicy,227513,0.692,99,
99,expirePolicy_99,expirePolicy,55069,0.522,99,expired
100,createTestPolicy_100,createTestPolicy,227513,0.647,100,
100,finalize_100,finalize,92730,0.601,100,payout
101,createTestPolicy_101,createTestPolicy,227513,0.691,101,
101,expirePolicy_101,expirePolicy,55069,0.527,101,expired
102,createTestPolicy_102,createTestPolicy,227513,0.740,102,
102,finalize_102,finalize,69676,0.541,102,no_payout
103,createTestPolicy_103,createTestPolicy,227513,0.705,103,
103,expirePolicy_103,expirePolicy,55069,1.396,103,expired
104,createTestPolicy_104,createTestPolicy,227513,0.669,104,
104,finalize_104,finalize,92730,0.592,104,payout
105,createTestPolicy_105,createTestPolicy,227513,0.645,105,
105,expirePolicy_105,expirePolicy,55069,0.455,105,expired
106,createTestPolicy_106,createTestPolicy,227513,0.686,106,
106,finalize_106,finalize,69676,0.523,106,no_payout
107,createTestPolicy_107,createTestPolicy,227513,0.791,107,
107,expirePolicy_107,expirePolicy,55069,0.461,107,expired
108,createTestPolicy_108,createTestPolicy,227513,0.663,108,
108,finalize_108,finalize,92730,0.573,108,payout
109,createTestPolicy_109,createTestPolicy,227513,0.647,109,
109,expirePolicy_109,expirePolicy,55069,0.459,109,expired
110,createTestPolicy_110,createTestPolicy,227513,0.636,110,
110,finalize_110,finalize,69676,0.502,110,no_payout
111,createTestPolicy_111,createTestPolicy,227513,0.666,111,
111,expirePolicy_111,expirePolicy,55069,0.466,111,expired
112,createTestPolicy_112,createTestPolicy,227513,0.663,112,
112,finalize_112,finalize,92730,0.578,112,payout
113,createTestPolicy_113,createTestPolicy,227513,0.654,113,
113,expirePolicy_113,expirePolicy,55069,0.475,113,expired
114,createTestPolicy_114,createTestPolicy,227513,0.670,114,
114,finalize_114,finalize,69676,0.526,114,no_payout
115,createTestPolicy_115,createTestPolicy,227513,0.697,115,
115,expirePolicy_115,expirePolicy,55069,0.473,115,expired
116,createTestPolicy_116,createTestPolicy,227513,0.660,116,
116,finalize_116,finalize,92730,0.601,116,payout
117,createTestPolicy_117,createTestPolicy,227513,0.708,117,
117,expirePolicy_117,expirePolicy,55069,0.472,117,expired
118,createTestPolicy_118,createTestPolicy,227513,0.711,118,
118,finalize_118,finalize,69676,0.547,118,no_payout
119,createTestPolicy_119,createTestPolicy,227513,0.690,119,
119,expirePolicy_119,expirePolicy,55069,0.457,119,expired
120,createTestPolicy_120,createTestPolicy,227513,0.691,120,
120,finalize_120,finalize,92730,0.605,120,payout
121,createTestPolicy_121,createTestPolicy,227513,0.790,121,
121,expirePolicy_121,expirePolicy,55069,0.473,121,expired
122,createTestPolicy_122,createTestPolicy,227513,0.659,122,
122,finalize_122,finalize,69676,0.563,122,no_payout
123,createTestPolicy_123,createTestPolicy,227513,0.675,123,
123,expirePolicy_123,expirePolicy,55069,0.469,123,expired
124,createTestPolicy_124,createTestPolicy,227513,0.657,124,
124,finalize_124,finalize,92730,0.582,124,payout
125,createTestPolicy_125,createTestPolicy,227513,0.653,125,
125,expirePolicy_125,expirePolicy,55069,0.457,125,expired
126,createTestPolicy_126,createTestPolicy,227513,0.728,126,
126,finalize_126,finalize,69676,0.527,126,no_payout
127,createTestPolicy_127,createTestPolicy,227513,0.718,127,
127,expirePolicy_127,expirePolicy,55069,0.463,127,expired
128,createTestPolicy_128,createTestPolicy,227513,0.701,128,
128,finalize_128,finalize,92730,0.634,128,payout
129,createTestPolicy_129,createTestPolicy,227513,0.706,129,
129,expirePolicy_129,expirePolicy,55069,0.488,129,expired
130,createTestPolicy_130,createTestPolicy,227513,0.675,130,
130,finalize_130,finalize,69676,0.501,130,no_payout
131,createTestPolicy_131,createTestPolicy,227513,0.655,131,
131,expirePolicy_131,expirePolicy,55069,0.454,131,expired
132,createTestPolicy_132,createTestPolicy,227513,0.627,132,
132,finalize_132,finalize,92730,0.590,132,payout
133,createTestPolicy_133,createTestPolicy,227513,0.655,133,
133,expirePolicy_133,expirePolicy,55069,0.486,133,expired
134,createTestPolicy_134,createTestPolicy,227513,0.657,134,
134,finalize_134,finalize,69676,0.515,134,no_payout
135,createTestPolicy_135,createTestPolicy,227513,0.664,135,
135,expirePolicy_135,expirePolicy,55069,0.464,135,expired
136,createTestPolicy_136,createTestPolicy,227513,0.666,136,
136,finalize_136,finalize,92730,0.683,136,payout
137,createTestPolicy_137,createTestPolicy,227513,0.691,137,
137,expirePolicy_137,expirePolicy,55069,0.460,137,expired
138,createTestPolicy_138,createTestPolicy,227513,1.387,138,
138,finalize_138,finalize,69676,0.514,138,no_payout
139,createTestPolicy_139,createTestPolicy,227513,0.652,139,
139,expirePolicy_139,expirePolicy,55069,0.458,139,expired
140,createTestPolicy_140,createTestPolicy,227513,0.636,140,
140,finalize_140,finalize,92730,0.583,140,payout
141,createTestPolicy_141,createTestPolicy,227513,0.671,141,
141,expirePolicy_141,expirePolicy,55069,0.454,141,expired
142,createTestPolicy_142,createTestPolicy,227513,0.644,142,
142,finalize_142,finalize,69676,0.511,142,no_payout
143,createTestPolicy_143,createTestPolicy,227513,0.664,143,
143,expirePolicy_143,expirePolicy,55069,0.461,143,expired
144,createTestPolicy_144,createTestPolicy,227513,0.653,144,
144,finalize_144,finalize,92730,0.630,144,payout
145,createTestPolicy_145,createTestPolicy,227513,0.669,145,
145,expirePolicy_145,expirePolicy,55069,0.467,145,expired
146,createTestPolicy_146,createTestPolicy,227513,0.651,146,
146,finalize_146,finalize,69676,0.521,146,no_payout
147,createTestPolicy_147,createTestPolicy,227513,0.652,147,
147,expirePolicy_147,expirePolicy,55069,0.452,147,expired
148,createTestPolicy_148,createTestPolicy,227513,0.649,148,
148,finalize_148,finalize,92730,0.573,148,payout
149,createTestPolicy_149,createTestPolicy,227513,0.636,149,
149,expirePolicy_149,expirePolicy,55069,0.467,149,expired
150,createTestPolicy_150,createTestPolicy,227513,0.648,150,
150,finalize_150,finalize,69676,0.510,150,no_payout
151,createTestPolicy_151,createTestPolicy,227513,0.663,151,
151,expirePolicy_151,expirePolicy,55069,0.456,151,expired
152,createTestPolicy_152,createTestPolicy,227513,0.652,152,
152,finalize_152,finalize,92730,0.603,152,payout
153,createTestPolicy_153,createTestPolicy,227513,0.648,153,
153,expirePolicy_153,expirePolicy,55069,0.448,153,expired
154,createTestPolicy_154,createTestPolicy,227513,0.708,154,
154,finalize_154,finalize,69676,0.524,154,no_payout
155,createTestPolicy_155,createTestPolicy,227513,1.358,155,
155,expirePolicy_155,expirePolicy,55069,0.449,155,expired
156,createTestPolicy_156,createTestPolicy,227513,0.665,156,
156,finalize_156,finalize,92730,0.580,156,payout
157,createTestPolicy_157,createTestPolicy,227513,0.646,157,
157,expirePolicy_157,expirePolicy,55069,0.447,157,expired
158,createTestPolicy_158,createTestPolicy,227513,0.640,158,
158,finalize_158,finalize,69676,0.526,158,no_payout
159,createTestPolicy_159,createTestPolicy,227513,0.637,159,
159,expirePolicy_159,expirePolicy,55069,0.443,159,expired
160,createTestPolicy_160,createTestPolicy,227513,0.650,160,
160,finalize_160,finalize,92730,0.588,160,payout
161,createTestPolicy_161,createTestPolicy,227513,0.630,161,
161,expirePolicy_161,expirePolicy,55069,0.460,161,expired
162,createTestPolicy_162,createTestPolicy,227513,0.656,162,
162,finalize_162,finalize,69676,0.486,162,no_payout
163,createTestPolicy_163,createTestPolicy,227513,0.646,163,
163,expirePolicy_163,expirePolicy,55069,0.451,163,expired
164,createTestPolicy_164,createTestPolicy,227513,0.644,164,
164,finalize_164,finalize,92730,0.604,164,payout
165,createTestPolicy_165,createTestPolicy,227513,0.640,165,
165,expirePolicy_165,expirePolicy,55069,0.455,165,expired
166,createTestPolicy_166,createTestPolicy,227513,0.653,166,
166,finalize_166,finalize,69676,0.519,166,no_payout
167,createTestPolicy_167,createTestPolicy,227513,0.667,167,
167,expirePolicy_167,expirePolicy,55069,0.458,167,expired
168,createTestPolicy_168,createTestPolicy,227513,0.694,168,
168,finalize_168,finalize,92730,0.683,168,payout
169,createTestPolicy_169,createTestPolicy,227513,0.722,169,
169,expirePolicy_169,expirePolicy,55069,0.485,169,expired
170,createTestPolicy_170,createTestPolicy,227513,0.692,170,
